ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
130703,LA LIBERTAD,JEQUETEPEQUE,0.06870229007633588,0.0,5,0.3677351013338613,0.04580152671755725,0.026785714285714284,0.04834605597964377,17.0,1,-1.1350784124653837,-0.166609158171388
130704,LA LIBERTAD,PACASMAYO,1.120675105485232,0.0,101,7.669092083414765,0.06413502109704641,0.013072166273523454,0.06413502109704641,11.0,1,-0.5240412462203826,-0.5202061944511545
130705,LA LIBERTAD,SAN JOSE,0.04017467248908297,0.0,3,0.26125656225936733,0.02794759825327511,0.00895979020979021,0.028820960698689956,2.0,1,-1.1892510716171938,-0.2174479207721546
130809,LA LIBERTAD,PATAZ,1.1653225806451613,0.0,42,3.7022343810286733,0.1975806451612903,0.08237704979072374,0.19959677419354838,23.0,1,-0.4839916228684077,0.10514868026258072
130903,LA LIBERTAD,COCHORCO,0.23873873873873874,0.0,8,1.0491241453150784,0.07657657657657657,0.0450836744954392,0.08108108108108109,7.0,1,-1.0150274114650004,-0.09506068922190739
130908,LA LIBERTAD,SARTIMBAMBA,0.725,0.0,8,1.9491985532520795,0.0,0.31367521367521367,0.2,24.0,1,-0.6691170974070257,0.22890239763845227
131101,LA LIBERTAD,CASCAS,0.7479892761394102,0.0,42,2.9071009448194696,0.12332439678284182,0.02859254553261109,0.12332439678284182,18.0,1,-0.7250213859558456,-0.09549541759514
131201,LA LIBERTAD,VIRU,6.82258064516129,0.0,558,37.177223426815615,0.16021505376344086,0.06423765307018532,0.16129032258064516,9.0,0,2.349949343633974,-2.0205559996381535
131202,LA LIBERTAD,CHAO,3.070339976553341,0.0,206,16.940686112348004,0.11488862837045721,0.0370607450086219,0.1160609613130129,9.0,1,0.3541122887574728,-0.8488182802281619
131203,LA LIBERTAD,GUADALUPITO,0.2668463611859838,0.0,10,0.9439582461450273,0.11859838274932614,0.040370305370305365,0.12129380053908356,41.0,1,-0.9221613515557623,0.022629355496961757
140101,LAMBAYEQUE,CHICLAYO,11.103035143769969,0.0,1148,79.66813007253499,0.23482428115015974,0.08610247277090326,0.2356230031948882,20.0,2,5.725057297619246,-4.165849198292858
